knee_angle,elbow_angle,hip_angle,label
71.6553108906491,20.227684678775386,76.68705470677892,squat
74.13360645362958,17.690776564744,79.42986214986443,squat
85.89846130518289,30.297499915045698,89.8039099026798,squat
98.65743962043035,30.81569741081445,102.47332036241528,squat
110.06519231659507,42.76470389158154,112.78942741206691,squat
120.51728409300952,52.25007806430761,122.5769109254966,squat
129.71638837947575,143.86930411645122,131.65880429478077,squat
135.8053610671829,64.26044566962194,138.20597218598834,squat
138.8817052330841,133.6393469421663,141.7107897136879,squat
145.5410172886117,176.40765413333946,145.5895216915166,squat
151.1284157550565,169.58176256855535,150.68375318348694,squat
154.5742257581208,179.68984063699438,153.60941625070618,squat
155.96398612541242,173.81724712927684,155.57053501767183,squat
160.72533570494014,168.45885031826938,159.05655180024428,squat
174.04329209436116,168.11339867407457,177.99398237593292,squat
175.02668713328504,161.42624869493045,178.770783133898,squat
176.93547136723151,156.35833377937186,177.30418601299758,squat
177.59597653126525,153.56791592248246,178.27661150176746,squat
167.64158923798436,159.443475897494,174.0845017091657,squat
176.7606279655088,146.55855109588228,174.0416560238672,squat
177.75048453233325,138.67053358131915,175.96575121648297,squat
176.4469960882176,149.1479143236957,176.9936017183257,squat
178.83744656028065,168.5351202798136,10.942345794750238,squat
167.10419710679417,169.57512737453283,16.450485510986123,squat
170.93675071754487,172.19418313816448,16.103597978364878,squat
168.31334886982492,175.77736967971668,14.820677563604091,squat
169.04859589498798,178.64589244061108,4.571324648683274,squat
170.9632833321264,177.7630192774613,0.950697382442107,squat
174.6667254123174,178.7027373073778,4.866842701948025,squat
173.37036541867073,178.57609044341356,4.895889083908485,squat
170.86899576861302,179.6212183375253,0.14384820747213223,squat
166.71230201927744,167.7531742794934,18.729307250886343,squat
175.85316770676482,160.4039944773433,173.15072105379176,squat
141.80119551729027,176.28132478331,75.98209005938442,squat
161.43937689688426,166.87121086674247,30.599707646925214,squat
139.10390216126595,160.02445272190033,14.710134004406191,squat
58.14987595145487,171.97682495360363,102.78629218867054,squat
104.96650479449642,162.58755089202953,154.12520142604086,squat
